block_group,household_pub_assist,count_household_pub_assist
480291522011,house_pub_assist_yes,34.0
480291522012,house_pub_assist_yes,9.0
480291522013,house_pub_assist_yes,0.0
480291522021,house_pub_assist_yes,0.0
480291605011,house_pub_assist_yes,0.0
480291605012,house_pub_assist_yes,14.0
480291605021,house_pub_assist_yes,17.0
480291609013,house_pub_assist_yes,0.0
480291605022,house_pub_assist_yes,10.0
480291605024,house_pub_assist_yes,0.0
480291609011,house_pub_assist_yes,0.0
480291609021,house_pub_assist_yes,20.0
480291609023,house_pub_assist_yes,0.0
480291613022,house_pub_assist_yes,0.0
480291613032,house_pub_assist_yes,8.0
480291613041,house_pub_assist_yes,6.0
480291614001,house_pub_assist_yes,0.0
480291615031,house_pub_assist_yes,11.0
480291615033,house_pub_assist_yes,0.0
480291615041,house_pub_assist_yes,31.0
480291618011,house_pub_assist_yes,9.0
480291618012,house_pub_assist_yes,12.0
480291618022,house_pub_assist_yes,28.0
480291619011,house_pub_assist_yes,3.0
480291619022,house_pub_assist_yes,36.0
480291619023,house_pub_assist_yes,24.0
480291620032,house_pub_assist_yes,0.0
480291620033,house_pub_assist_yes,0.0
480291620042,house_pub_assist_yes,14.0
480291713011,house_pub_assist_yes,0.0
480291713021,house_pub_assist_yes,12.0
480291713022,house_pub_assist_yes,0.0
480291716011,house_pub_assist_yes,0.0
480291716013,house_pub_assist_yes,7.0
480291716021,house_pub_assist_yes,27.0
480291719022,house_pub_assist_yes,0.0
480291719023,house_pub_assist_yes,0.0
480291719131,house_pub_assist_yes,69.0
480291719132,house_pub_assist_yes,21.0
480291719142,house_pub_assist_yes,8.0
480291719143,house_pub_assist_yes,12.0
480291719161,house_pub_assist_yes,0.0
480291719162,house_pub_assist_yes,27.0
480291719171,house_pub_assist_yes,0.0
480291719172,house_pub_assist_yes,13.0
480291215053,house_pub_assist_yes,15.0
480291216051,house_pub_assist_yes,3.0
480291216052,house_pub_assist_yes,7.0
480291216062,house_pub_assist_yes,0.0
480291216063,house_pub_assist_yes,0.0
480291217011,house_pub_assist_yes,0.0
480291217012,house_pub_assist_yes,10.0
480291217014,house_pub_assist_yes,35.0
480291217021,house_pub_assist_yes,0.0
480291217023,house_pub_assist_yes,0.0
480291218081,house_pub_assist_yes,0.0
480291218091,house_pub_assist_yes,20.0
480291218092,house_pub_assist_yes,0.0
480291218101,house_pub_assist_yes,38.0
480291218102,house_pub_assist_yes,0.0
480291218112,house_pub_assist_yes,0.0
480291218121,house_pub_assist_yes,0.0
480291219032,house_pub_assist_yes,0.0
480291218123,house_pub_assist_yes,0.0
480291218124,house_pub_assist_yes,0.0
480291219031,house_pub_assist_yes,0.0
480291219042,house_pub_assist_yes,0.0
480291219051,house_pub_assist_yes,0.0
480291219061,house_pub_assist_yes,0.0
480291219062,house_pub_assist_yes,17.0
480291219072,house_pub_assist_yes,0.0
480291219081,house_pub_assist_yes,5.0
480291209024,house_pub_assist_yes,0.0
480291211103,house_pub_assist_yes,22.0
480291211183,house_pub_assist_yes,23.0
480291211192,house_pub_assist_yes,0.0
480291211193,house_pub_assist_yes,39.0
480291211202,house_pub_assist_yes,17.0
480291211211,house_pub_assist_yes,7.0
480291211212,house_pub_assist_yes,0.0
480291211221,house_pub_assist_yes,12.0
480291211222,house_pub_assist_yes,0.0
480291211223,house_pub_assist_yes,0.0
480291215014,house_pub_assist_yes,46.0
480291713023,house_pub_assist_yes,0.0
480291713024,house_pub_assist_yes,20.0
480291714012,house_pub_assist_yes,9.0
480291714021,house_pub_assist_yes,8.0
480291714023,house_pub_assist_yes,26.0
480291715011,house_pub_assist_yes,5.0
480291715021,house_pub_assist_yes,0.0
480291715022,house_pub_assist_yes,0.0
480291715024,house_pub_assist_yes,3.0
480291914121,house_pub_assist_yes,0.0
480291914131,house_pub_assist_yes,28.0
480291914132,house_pub_assist_yes,11.0
480291915031,house_pub_assist_yes,0.0
480291915032,house_pub_assist_yes,0.0
480291915033,house_pub_assist_yes,0.0
480291915041,house_pub_assist_yes,0.0
480291915042,house_pub_assist_yes,0.0
480291915051,house_pub_assist_yes,0.0
480291915052,house_pub_assist_yes,0.0
480291915061,house_pub_assist_yes,0.0
480291915062,house_pub_assist_yes,0.0
480291915063,house_pub_assist_yes,0.0
480291917012,house_pub_assist_yes,0.0
480291917021,house_pub_assist_yes,0.0
480291917023,house_pub_assist_yes,0.0
480291917024,house_pub_assist_yes,0.0
480291918061,house_pub_assist_yes,0.0
480291918062,house_pub_assist_yes,0.0
480291918071,house_pub_assist_yes,9.0
480291918072,house_pub_assist_yes,0.0
480291918082,house_pub_assist_yes,0.0
480291918091,house_pub_assist_yes,0.0
480291918101,house_pub_assist_yes,0.0
480291918102,house_pub_assist_yes,0.0
480291918121,house_pub_assist_yes,0.0
480291918122,house_pub_assist_yes,0.0
480291918132,house_pub_assist_yes,15.0
480291821062,house_pub_assist_yes,0.0
480291905031,house_pub_assist_yes,0.0
480291905033,house_pub_assist_yes,23.0
480291905041,house_pub_assist_yes,25.0
480291906031,house_pub_assist_yes,8.0
480291906032,house_pub_assist_yes,22.0
480291906042,house_pub_assist_yes,0.0
480291906043,house_pub_assist_yes,9.0
480291910052,house_pub_assist_yes,11.0
480291910061,house_pub_assist_yes,12.0
480291910063,house_pub_assist_yes,0.0
480291801014,house_pub_assist_yes,13.0
480291801015,house_pub_assist_yes,6.0
480291801021,house_pub_assist_yes,0.0
480291806044,house_pub_assist_yes,0.0
480291801022,house_pub_assist_yes,0.0
480291806041,house_pub_assist_yes,3.0
